view_id,viewname,goalnames,date,campaign_name,channel_grouping,source,medium,ad_content,Value
96577637,Leads,8 - Funnel Hipotecas Refinanciar,10/16/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),1
96577637,Leads,8 - Funnel Hipotecas Refinanciar,10/16/2022,2020 - hipotecas - display - discovery,Paid Search,google,cpc,(not set),1
116580388,Leads 2,10 - Form Downloads,10/16/2022,popular - lending - comercial - startup 2022 - youtube tvfa - inmarket n custom int - aug 15 2022 _ ///nofee211216as01\\\,Display,google,cpc,StartUp Popular – Brew Taller Experimental,1
116580388,Leads 2,10 - Form Downloads,10/16/2022,popular - lending - comercial - startup 2022 - youtube tvfa - inmarket n custom int - aug 15 2022 _ ///nofee211216as01\\\,Display,google,cpc,Mercado La Carreta pudo expandir su negocio gracias a StartUp Popular,7
116580388,Leads 2,10 - Form Downloads,10/16/2022,popular - lending - comercial - startup 2022 - youtube tvfa - inmarket n custom int - aug 15 2022 _ ///nofee211216as01\\\,Display,google,cpc,STEAM Kids Academy impulsó su negocio con StartUp Popular,3
116580388,Leads 2,10 - Form Downloads,10/16/2022,popular - services - comercial - startup 2022 - discovery - inmarket n custom int n retargeting - feb 1 2022 _ ///nofee211216as01\\\,Paid Search,google,cpc,(not set),8
116580388,Leads 2,10 - Form Downloads,10/16/2022,popular - lending - comercial - startup 2022 - search - jul 28 2022 _ ///nofee211216as01\\\,Paid Search,google,cpc,(not set),1
116580388,Leads 2,10 - Form Downloads,10/16/2022,popular-comercial-lending-startup-2022-fb-cbo-website-conversions-all-pr-18-sc-gif-donuteatjustone-aug-15-2022-flt1_nofee211216as01,(Other),facebook-paid,fb-conversion-ad,v5i202211981v5f_startup,4
103885104,DeShow.com,2 - Property Lead Form,10/16/2022,DeShow 2022 - REO - Search - Casas Renta - 05 Jul 2022 - FLT1_ ///FEE211227ES01\\\,Paid Search,google,cpc,deShow,1
103885104,DeShow.com,2 - Property Lead Form,10/16/2022,DeShow 2022 - REO - Search - Casas Renta - 05 Jul 2022 - FLT1_ ///FEE211227ES01\\\,Paid Search,google,cpc,Casas para Renta,1
103885104,DeShow.com,2 - Property Lead Form,10/16/2022,DeShow 2022 - REO - Search - Casas Renta - 05 Jul 2022 - FLT1_ ///FEE211227ES01\\\,Paid Search,google,cpc,(not set),2
103885104,DeShow.com,2 - Property Lead Form,10/16/2022,DeShow 2022 - REO - Search - Casas Venta - 05 Jul 2022 - FLT1_ ///FEE211227ES01\\\,Paid Search,google,cpc,(not set),17
103885104,DeShow.com,2 - Property Lead Form,10/16/2022,DeShow 2022 - REO - Search - Casas Venta - 05 Jul 2022 - FLT1_ ///FEE211227ES01\\\,Paid Search,google,cpc,Si buscas casas en venta,2
103885104,DeShow.com,2 - Property Lead Form,10/16/2022,DeShow 2022 - REO - Search - Apartamentos Venta - 05 Jul 2022 - FLT1 _ ///FEE211227ES01\\\,Paid Search,google,cpc,Apartamentos en venta,2
